seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s
3,DQN,0.1,0.99,-8.0,0.0,GPU,['cuda:0'],greedy,40.0,334.0501480439998
4,DQN,0.01,0.99,7.699999332427978,1.0,GPU,['cuda:0'],greedy,8.0,313.1363483870009
6,DQN,0.001,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,287.4764373009966
3,DQN,0.001,0.99,-8.0,0.0,GPU,['cuda:0'],greedy,40.0,344.95866367300187
3,DQN,0.001,0.9,-8.0,0.0,GPU,['cuda:0'],greedy,40.0,321.1990196789993
9,DQN,0.1,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,283.61142975899565
0,DQN,0.1,0.9,7.699999332427978,1.0,GPU,['cuda:0'],greedy,8.0,292.95439808000083
6,DQN,0.01,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,300.23491483199905
1,DQN,0.01,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,315.835639981
2,DQN,0.01,0.99,-8.899999618530273,0.0,GPU,['cuda:0'],greedy,40.0,312.51691559400206
6,DQN,0.1,0.9,7.699999332427978,1.0,GPU,['cuda:0'],greedy,8.0,291.82792658599647
7,DQN,0.001,0.99,-2.0,0.0,GPU,['cuda:0'],greedy,40.0,348.12564747899887
2,DQN,0.001,0.99,-8.0,0.0,GPU,['cuda:0'],greedy,40.0,334.60147777399834
5,DQN,0.01,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,316.34170650099986
6,DQN,0.1,0.99,7.699999332427978,1.0,GPU,['cuda:0'],greedy,8.0,314.50964773400483
7,DQN,0.01,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,305.1215202259991
6,DQN,0.01,0.99,7.699999332427978,1.0,GPU,['cuda:0'],greedy,8.0,311.89183266700275
0,DQN,0.01,0.9,7.699999332427978,1.0,GPU,['cuda:0'],greedy,8.0,296.29558853100025
4,DQN,0.001,0.99,-2.0,0.0,GPU,['cuda:0'],greedy,40.0,326.83345263799856
9,DQN,0.01,0.99,7.699999332427978,1.0,GPU,['cuda:0'],greedy,8.0,296.7533485620006
8,DQN,0.1,0.99,-8.0,0.0,GPU,['cuda:0'],greedy,40.0,331.8867243259956
8,DQN,0.01,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,292.10064549999515
5,DQN,0.001,0.9,-7.550000667572021,0.0,GPU,['cuda:0'],greedy,40.0,336.0680438319978
2,DQN,0.001,0.9,-8.0,0.0,GPU,['cuda:0'],greedy,40.0,335.4620390900018
4,DQN,0.001,0.9,-2.0,0.0,GPU,['cuda:0'],greedy,40.0,327.61620009599574
7,DQN,0.1,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,286.3228034549975
2,DQN,0.1,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,331.3915782930053
9,DQN,0.001,0.99,-2.0,0.0,GPU,['cuda:0'],greedy,40.0,333.2819382149973
0,DQN,0.01,0.99,7.699999332427978,1.0,GPU,['cuda:0'],greedy,8.0,288.88586502099497
1,DQN,0.1,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,283.24759004399675
5,DQN,0.001,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,320.36659403099475
3,DQN,0.1,0.9,7.699999332427978,1.0,GPU,['cuda:0'],greedy,8.0,306.3170208619995
4,DQN,0.01,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,304.2926416859991
0,DQN,0.001,0.99,-2.0,0.0,GPU,['cuda:0'],greedy,40.0,309.6398786849968
7,DQN,0.001,0.9,-2.0,0.0,GPU,['cuda:0'],greedy,40.0,333.5467495519988
7,DQN,0.1,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,322.7119010250026
8,DQN,0.1,0.9,-8.899999618530273,0.0,GPU,['cuda:0'],greedy,40.0,319.48577536299854
5,DQN,0.1,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,292.357363025003
1,DQN,0.001,0.9,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,342.9624662269998
3,DQN,0.01,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,291.1348550329931
4,DQN,0.1,0.9,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,314.42034588599927
9,DQN,0.01,0.9,7.699999332427978,1.0,GPU,['cuda:0'],greedy,8.0,294.67349251700216
1,DQN,0.1,0.99,-2.0,0.0,GPU,['cuda:0'],greedy,40.0,344.1372049640049
1,DQN,0.01,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,318.2435455729937
2,DQN,0.01,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,305.04272369200044
1,DQN,0.001,0.99,-2.0,0.0,GPU,['cuda:0'],greedy,40.0,335.6772512239986
7,DQN,0.01,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,272.9184457309966
8,DQN,0.001,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,295.08763744700263
8,DQN,0.001,0.99,-8.899999618530273,0.0,GPU,['cuda:0'],greedy,40.0,330.6937599879966
0,DQN,0.001,0.9,-2.0,0.0,GPU,['cuda:0'],greedy,40.0,337.3351315339969
3,DQN,0.01,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,299.2768406079995
2,DQN,0.1,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,293.2606265420036
8,DQN,0.01,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,284.98940294399654
6,DQN,0.001,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,313.1939881360013
5,DQN,0.1,0.99,-2.0,0.0,GPU,['cuda:0'],greedy,40.0,326.40123002100154
5,DQN,0.01,0.9,7.699999332427978,1.0,GPU,['cuda:0'],greedy,8.0,309.3579494299993
0,DQN,0.1,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,342.573318210998
9,DQN,0.001,0.9,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,331.73026050000044
9,DQN,0.1,0.99,-7.849999904632568,0.0,GPU,['cuda:0'],greedy,40.0,329.813975967998
4,DQN,0.1,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,342.00477839400264
3,REINFORCE,0.1,0.99,9.62049961090088,1.0,GPU,['cuda:0'],stochastic,8.199999809265137,157.7303655729993
3,REINFORCE,0.1,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,157.7303655729993
4,REINFORCE,0.01,0.99,3.827249765396118,0.7799999713897705,GPU,['cuda:0'],stochastic,25.19999885559082,149.1607311120024
4,REINFORCE,0.01,0.99,-8.899999618530273,0.0,GPU,['cuda:0'],greedy,40.0,149.1607311120024
6,REINFORCE,0.001,0.9,-3.213749885559082,0.1799999922513961,GPU,['cuda:0'],stochastic,37.91999816894531,152.51162075600223
6,REINFORCE,0.001,0.9,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,152.51162075600223
3,REINFORCE,0.001,0.99,-1.430500030517578,0.4149999916553497,GPU,['cuda:0'],stochastic,34.744998931884766,153.20296604599935
3,REINFORCE,0.001,0.99,-7.849999904632568,0.0,GPU,['cuda:0'],greedy,40.0,153.20296604599935
3,REINFORCE,0.001,0.9,-1.0505000352859497,0.4350000023841858,GPU,['cuda:0'],stochastic,34.599998474121094,150.83966434099784
3,REINFORCE,0.001,0.9,-7.849999904632568,0.0,GPU,['cuda:0'],greedy,40.0,150.83966434099784
9,REINFORCE,0.1,0.9,9.619999885559082,1.0,GPU,['cuda:0'],stochastic,8.194999694824219,143.8275545880024
9,REINFORCE,0.1,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,143.8275545880024
0,REINFORCE,0.1,0.9,8.342999458312988,0.9799999594688416,GPU,['cuda:0'],stochastic,10.949999809265137,151.09276584500185
0,REINFORCE,0.1,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,151.09276584500185
6,REINFORCE,0.01,0.9,-2.545750141143799,0.2849999964237213,GPU,['cuda:0'],stochastic,37.17499923706055,148.89786796800036
6,REINFORCE,0.01,0.9,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,148.89786796800036
1,REINFORCE,0.01,0.99,3.3632500171661377,0.73499995470047,GPU,['cuda:0'],stochastic,25.71999931335449,179.54988089499966
1,REINFORCE,0.01,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,179.54988089499966
2,REINFORCE,0.01,0.99,4.982999801635742,0.8499999642372131,GPU,['cuda:0'],stochastic,21.09000015258789,155.4200257199991
2,REINFORCE,0.01,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,155.4200257199991
6,REINFORCE,0.1,0.9,9.607999801635742,1.0,GPU,['cuda:0'],stochastic,8.239999771118164,150.4970774020003
6,REINFORCE,0.1,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,150.4970774020003
7,REINFORCE,0.001,0.99,-3.799249887466431,0.1349999904632568,GPU,['cuda:0'],stochastic,38.73999786376953,178.68249127599847
7,REINFORCE,0.001,0.99,-8.0,0.0,GPU,['cuda:0'],greedy,40.0,178.68249127599847
2,REINFORCE,0.001,0.99,-3.246500253677368,0.1850000023841858,GPU,['cuda:0'],stochastic,37.82500076293945,148.63009306800086
2,REINFORCE,0.001,0.99,-8.0,0.0,GPU,['cuda:0'],greedy,40.0,148.63009306800086
5,REINFORCE,0.01,0.99,3.547249794006348,0.75,GPU,['cuda:0'],stochastic,25.774999618530277,156.80512376600018
5,REINFORCE,0.01,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,156.80512376600018
6,REINFORCE,0.1,0.99,9.602499961853027,1.0,GPU,['cuda:0'],stochastic,8.274999618530273,153.48330912600068
6,REINFORCE,0.1,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,153.48330912600068
7,REINFORCE,0.01,0.99,3.849749565124512,0.7849999666213989,GPU,['cuda:0'],stochastic,25.920000076293945,172.267381878999
7,REINFORCE,0.01,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,172.267381878999
6,REINFORCE,0.01,0.99,-1.4895000457763672,0.3700000047683716,GPU,['cuda:0'],stochastic,35.66999816894531,153.76274144499985
6,REINFORCE,0.01,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,153.76274144499985
0,REINFORCE,0.01,0.9,3.332749605178833,0.7049999833106995,GPU,['cuda:0'],stochastic,24.875,147.9953876810032
0,REINFORCE,0.01,0.9,-7.550000667572021,0.0,GPU,['cuda:0'],greedy,40.0,147.9953876810032
4,REINFORCE,0.001,0.99,-2.907249689102173,0.2349999994039535,GPU,['cuda:0'],stochastic,37.084999084472656,153.71011440700022
4,REINFORCE,0.001,0.99,-7.25,0.0,GPU,['cuda:0'],greedy,40.0,153.71011440700022
9,REINFORCE,0.01,0.99,-0.7517501711845398,0.4449999928474426,GPU,['cuda:0'],stochastic,34.040000915527344,148.86396846599382
9,REINFORCE,0.01,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,148.86396846599382
8,REINFORCE,0.1,0.99,8.58650016784668,0.98499995470047,GPU,['cuda:0'],stochastic,11.795000076293944,146.2158630749982
8,REINFORCE,0.1,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,146.2158630749982
8,REINFORCE,0.01,0.9,6.539248943328857,0.8899999856948853,GPU,['cuda:0'],stochastic,17.03999900817871,147.27267430999927
8,REINFORCE,0.01,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,147.27267430999927
5,REINFORCE,0.001,0.9,-3.354250192642212,0.1749999970197677,GPU,['cuda:0'],stochastic,37.72999954223633,182.7784258410029
5,REINFORCE,0.001,0.9,-8.0,0.0,GPU,['cuda:0'],greedy,40.0,182.7784258410029
2,REINFORCE,0.001,0.9,-3.043750047683716,0.2049999982118606,GPU,['cuda:0'],stochastic,37.56499862670898,155.41280652899877
2,REINFORCE,0.001,0.9,-8.0,0.0,GPU,['cuda:0'],greedy,40.0,155.41280652899877
4,REINFORCE,0.001,0.9,-3.065999984741211,0.2299999892711639,GPU,['cuda:0'],stochastic,37.09499740600586,165.75175752599898
