seed,episode,reward,episode_length,loss,eval_success_rate,algorithm,learning_rate,gamma
9,1,7.949999809265137,18,0.0,-1.0,DQN,0.001,0.9
9,2,-4.850000381469727,40,0.0,-1.0,DQN,0.001,0.9
9,3,-3.6500000953674316,40,0.0,-1.0,DQN,0.001,0.9
9,4,-5.300000190734863,40,0.04983918368816376,-1.0,DQN,0.001,0.9
9,5,-4.699999809265137,40,0.8674651384353638,-1.0,DQN,0.001,0.9
9,6,-5.449999809265137,40,0.05503440648317337,-1.0,DQN,0.001,0.9
9,7,-4.849999904632568,40,0.8765725493431091,-1.0,DQN,0.001,0.9
9,8,-7.100000381469727,40,0.9195024967193604,-1.0,DQN,0.001,0.9
9,9,-5.0,40,0.046681419014930725,-1.0,DQN,0.001,0.9
9,10,-9.800000190734863,40,0.9419106841087341,-1.0,DQN,0.001,0.9
9,11,-4.550000190734863,40,0.8530937433242798,-1.0,DQN,0.001,0.9
9,12,-7.850000381469727,40,0.07068775594234467,-1.0,DQN,0.001,0.9
9,13,-4.25,40,0.08530455827713013,-1.0,DQN,0.001,0.9
9,14,-3.950000286102295,40,0.20096951723098755,-1.0,DQN,0.001,0.9
9,15,-4.100000381469727,40,0.058797772973775864,-1.0,DQN,0.001,0.9
9,16,-3.950000047683716,40,0.055899038910865784,-1.0,DQN,0.001,0.9
9,17,8.549999237060547,15,0.11783196032047272,-1.0,DQN,0.001,0.9
9,18,-4.550000190734863,40,0.8863808512687683,-1.0,DQN,0.001,0.9
9,19,-5.150000095367432,40,0.08830323070287704,-1.0,DQN,0.001,0.9
9,20,-5.900000095367432,40,0.1474112719297409,-1.0,DQN,0.001,0.9
9,21,-3.950000286102295,40,0.031051672995090485,-1.0,DQN,0.001,0.9
9,22,-4.400000095367432,40,0.8413913249969482,-1.0,DQN,0.001,0.9
9,23,-4.100000381469727,40,0.029494091868400574,-1.0,DQN,0.001,0.9
9,24,-4.100000381469727,40,0.860595166683197,-1.0,DQN,0.001,0.9
9,25,-4.699999809265137,40,0.023923007771372795,-1.0,DQN,0.001,0.9
9,26,-7.400000095367432,40,0.03179267793893814,-1.0,DQN,0.001,0.9
9,27,-6.349999904632568,40,0.027125932276248932,-1.0,DQN,0.001,0.9
9,28,-5.450000286102295,40,0.057203616946935654,-1.0,DQN,0.001,0.9
9,29,-5.600000381469727,40,0.0220167376101017,-1.0,DQN,0.001,0.9
9,30,-5.900000095367432,40,0.02302360162138939,-1.0,DQN,0.001,0.9
9,31,-3.5,40,0.05423750728368759,-1.0,DQN,0.001,0.9
9,32,-5.75,40,0.04952981695532799,-1.0,DQN,0.001,0.9
9,33,-3.6500000953674316,40,0.8206730484962463,-1.0,DQN,0.001,0.9
9,34,-5.300000190734863,40,0.05979514494538307,-1.0,DQN,0.001,0.9
9,35,-5.90000057220459,40,0.017780598253011703,-1.0,DQN,0.001,0.9
9,36,-5.600000381469727,40,0.821668803691864,-1.0,DQN,0.001,0.9
9,37,-5.150000095367432,40,0.07153784483671188,-1.0,DQN,0.001,0.9
9,38,-5.75,40,0.019910164177417755,-1.0,DQN,0.001,0.9
9,39,-4.550000190734863,40,0.04268817603588104,-1.0,DQN,0.001,0.9
9,40,-6.5,40,0.024084532633423805,-1.0,DQN,0.001,0.9
9,41,-5.600000381469727,40,0.07034743577241898,-1.0,DQN,0.001,0.9
9,42,-6.350000381469727,40,0.018302015960216522,-1.0,DQN,0.001,0.9
9,43,-10.100000381469727,40,0.019055750221014023,-1.0,DQN,0.001,0.9
9,44,-5.299999713897705,40,0.019531965255737305,-1.0,DQN,0.001,0.9
9,45,-5.75,40,0.052970804274082184,-1.0,DQN,0.001,0.9
9,46,-5.150000095367432,40,0.044985368847846985,-1.0,DQN,0.001,0.9
