seed,episode,reward,episode_length,loss,eval_success_rate,algorithm,learning_rate,gamma
5,1,6.34999942779541,35,0.3458960950374603,-1.0,REINFORCE,0.01,0.9
5,2,-4.849999904632568,40,-0.5397846102714539,-1.0,REINFORCE,0.01,0.9
5,3,-4.849999904632568,40,-0.5787820219993591,-1.0,REINFORCE,0.01,0.9
5,4,-4.699999809265137,40,-0.5730973482131958,-1.0,REINFORCE,0.01,0.9
5,5,-5.449999809265137,40,-0.4902147352695465,-1.0,REINFORCE,0.01,0.9
5,6,4.950000762939453,39,0.1511356383562088,-1.0,REINFORCE,0.01,0.9
5,7,-4.550000190734863,40,-0.48192253708839417,-1.0,REINFORCE,0.01,0.9
5,8,-4.850000381469727,40,-0.4920065402984619,-1.0,REINFORCE,0.01,0.9
5,9,-4.550000190734863,40,-0.5789947509765625,-1.0,REINFORCE,0.01,0.9
5,10,-10.25,40,-0.4343046247959137,-1.0,REINFORCE,0.01,0.9
5,11,-5.75,40,-0.5919384360313416,-1.0,REINFORCE,0.01,0.9
5,12,-4.850000381469727,40,-0.609449565410614,-1.0,REINFORCE,0.01,0.9
5,13,7.649999141693115,24,0.9513179659843445,-1.0,REINFORCE,0.01,0.9
5,14,-5.149999618530273,40,-0.5363182425498962,-1.0,REINFORCE,0.01,0.9
5,15,1.5500001907348633,38,0.0863547995686531,-1.0,REINFORCE,0.01,0.9
5,16,-5.0,40,-0.5656850934028625,-1.0,REINFORCE,0.01,0.9
5,17,-5.449999809265137,40,-0.5269946455955505,-1.0,REINFORCE,0.01,0.9
5,18,-4.549999713897705,40,-0.5015773773193359,-1.0,REINFORCE,0.01,0.9
5,19,-4.849999904632568,40,-0.5575794577598572,-1.0,REINFORCE,0.01,0.9
5,20,-4.099999904632568,40,-0.5136270523071289,-1.0,REINFORCE,0.01,0.9
5,21,-4.850000381469727,40,-0.514903724193573,-1.0,REINFORCE,0.01,0.9
5,22,-4.25,40,-0.493216335773468,-1.0,REINFORCE,0.01,0.9
5,23,-4.550000190734863,40,-0.45902419090270996,-1.0,REINFORCE,0.01,0.9
5,24,-4.849999904632568,40,-0.5034627318382263,-1.0,REINFORCE,0.01,0.9
5,25,-7.850000381469727,40,-0.5650193691253662,-1.0,REINFORCE,0.01,0.9
5,26,-5.900000095367432,40,-0.6026920080184937,-1.0,REINFORCE,0.01,0.9
5,27,-3.5,40,-0.49671316146850586,-1.0,REINFORCE,0.01,0.9
5,28,-5.900000095367432,40,-0.552666187286377,-1.0,REINFORCE,0.01,0.9
5,29,-4.100000381469727,40,-0.4518362581729889,-1.0,REINFORCE,0.01,0.9
5,30,-4.25,40,-0.4926890432834625,-1.0,REINFORCE,0.01,0.9
5,31,-13.25,40,-0.566674530506134,-1.0,REINFORCE,0.01,0.9
5,32,-6.049999713897705,40,-0.4628666043281555,-1.0,REINFORCE,0.01,0.9
5,33,4.350000381469727,21,0.7850009799003601,-1.0,REINFORCE,0.01,0.9
5,34,7.049999237060547,33,0.40958595275878906,-1.0,REINFORCE,0.01,0.9
5,35,-4.25,40,-0.5876615643501282,-1.0,REINFORCE,0.01,0.9
5,36,5.899998664855957,26,0.6325676441192627,-1.0,REINFORCE,0.01,0.9
5,37,-4.550000190734863,40,-0.4538961350917816,-1.0,REINFORCE,0.01,0.9
5,38,-6.049999713897705,40,-0.5694352388381958,-1.0,REINFORCE,0.01,0.9
5,39,-4.550000190734863,40,-0.4630735516548157,-1.0,REINFORCE,0.01,0.9
5,40,-3.950000286102295,40,-0.4820055067539215,-1.0,REINFORCE,0.01,0.9
5,41,-11.299999237060547,40,-0.4341697692871094,-1.0,REINFORCE,0.01,0.9
5,42,6.75,30,0.48325902223587036,-1.0,REINFORCE,0.01,0.9
5,43,-12.200000762939453,40,-0.532215416431427,-1.0,REINFORCE,0.01,0.9
5,44,-5.899999618530273,40,-0.5970093607902527,-1.0,REINFORCE,0.01,0.9
5,45,5.90000057220459,20,1.0345205068588257,-1.0,REINFORCE,0.01,0.9
5,46,6.300000190734863,21,0.9863718152046204,-1.0,REINFORCE,0.01,0.9
5,47,-5.0,40,-0.5569337606430054,-1.0,REINFORCE,0.01,0.9
5,48,-4.699999809265137,40,-0.5537285804748535,-1.0,REINFORCE,0.01,0.9
5,49,-5.0,40,-0.4858202040195465,-1.0,REINFORCE,0.01,0.9
5,50,-4.400000095367432,40,-0.5708832144737244,-1.0,REINFORCE,0.01,0.9
5,51,-4.399999618530273,40,-0.5809254050254822,-1.0,REINFORCE,0.01,0.9
5,52,-5.0,40,-0.4870377480983734,-1.0,REINFORCE,0.01,0.9
5,53,-6.34999942779541,40,-0.5159521102905273,-1.0,REINFORCE,0.01,0.9
5,54,5.65000057220459,37,0.20005658268928528,-1.0,REINFORCE,0.01,0.9
5,55,-9.799999237060547,40,-0.46743297576904297,-1.0,REINFORCE,0.01,0.9
5,56,-4.399999618530273,40,-0.5582091212272644,-1.0,REINFORCE,0.01,0.9
5,57,-3.6500000953674316,40,-0.5424829721450806,-1.0,REINFORCE,0.01,0.9
5,58,7.749999523162842,22,0.9879915118217468,-1.0,REINFORCE,0.01,0.9
